nlist,n_subvec,n_bits,nprobe,recall,search_time,train_time
20,64,8,1,0.8387,0.45601844787597656,39.95729422569275
20,64,8,2,0.9117000000000002,1.1592869758605957,39.95729422569275
20,64,8,4,0.9455000000000001,1.7834184169769287,39.95729422569275
20,64,8,8,0.9507000000000001,3.2867095470428467,39.95729422569275
20,64,8,16,0.9515000000000002,6.5009589195251465,39.95729422569275
20,128,8,1,0.8194,0.7111554145812988,44.88334012031555
20,128,8,2,0.9323,1.429492473602295,44.88334012031555
20,128,8,4,0.9632000000000001,2.8816025257110596,44.88334012031555
20,128,8,8,0.9742000000000001,5.74942684173584,44.88334012031555
20,128,8,16,0.9753000000000001,11.338648557662964,44.88334012031555
20,256,8,1,0.8425,1.3910932540893555,58.8595757484436
20,256,8,2,0.9366,2.725351095199585,58.8595757484436
20,256,8,4,0.9773000000000001,5.447568893432617,58.8595757484436
20,256,8,8,0.9854999999999999,10.906123161315918,58.8595757484436
20,256,8,16,0.9873999999999999,21.514346837997437,58.8595757484436
25,64,8,1,0.815,0.4268829822540283,33.7751624584198
25,64,8,2,0.9262000000000001,0.7891888618469238,33.7751624584198
25,64,8,4,0.9484999999999999,1.5722994804382324,33.7751624584198
25,64,8,8,0.9545999999999999,3.084014654159546,33.7751624584198
25,64,8,16,0.9556999999999999,6.243124723434448,33.7751624584198
25,128,8,1,0.8607,0.6782882213592529,48.88987755775452
25,128,8,2,0.9450999999999999,1.3994064331054688,48.88987755775452
25,128,8,4,0.9727000000000001,2.6930699348449707,48.88987755775452
25,128,8,8,0.9768000000000001,5.48432731628418,48.88987755775452
25,128,8,16,0.9793000000000001,11.444305658340454,48.88987755775452
25,256,8,1,0.8462000000000002,1.2786457538604736,62.6738166809082
25,256,8,2,0.9457000000000001,2.5528390407562256,62.6738166809082
25,256,8,4,0.9783000000000002,5.169466257095337,62.6738166809082
25,256,8,8,0.985,10.28862476348877,62.6738166809082
25,256,8,16,0.9881,20.613717794418335,62.6738166809082
30,64,8,1,0.7924,0.4207334518432617,34.098294496536255
30,64,8,2,0.9138,0.7431261539459229,34.098294496536255
30,64,8,4,0.9499000000000002,1.4966762065887451,34.098294496536255
30,64,8,8,0.9571000000000001,2.97802472114563,34.098294496536255
30,64,8,16,0.9600000000000002,5.957346439361572,34.098294496536255
30,128,8,1,0.8493999999999998,0.6586203575134277,49.04751682281494
30,128,8,2,0.9459000000000001,1.3383328914642334,49.04751682281494
30,128,8,4,0.9698,2.6638755798339844,49.04751682281494
30,128,8,8,0.9762,5.363445281982422,49.04751682281494
30,128,8,16,0.9777,10.624976873397827,49.04751682281494
30,256,8,1,0.8389,1.22544527053833,64.3454418182373
30,256,8,2,0.9397000000000001,2.4937472343444824,64.3454418182373
30,256,8,4,0.9762000000000001,4.96081280708313,64.3454418182373
30,256,8,8,0.9849000000000001,10.09947919845581,64.3454418182373
30,256,8,16,0.9879000000000002,19.96856188774109,64.3454418182373
