nlist,n_subvec,n_bits,nprobe,recall,search_time,train_time
20,64,8,1,0.7868,0.4566996097564697,34.11385440826416
20,64,8,2,0.8911,0.8364908695220947,34.11385440826416
20,64,8,4,0.944,1.6767728328704834,34.11385440826416
20,64,8,8,0.9556,3.3421683311462402,34.11385440826416
20,64,8,16,0.9573,6.652462482452393,34.11385440826416
20,128,8,1,0.8210999999999999,0.7399029731750488,50.52324461936951
20,128,8,2,0.9166000000000001,1.497049331665039,50.52324461936951
20,128,8,4,0.9599000000000001,2.9766530990600586,50.52324461936951
20,128,8,8,0.9729000000000001,5.886157512664795,50.52324461936951
20,128,8,16,0.9758000000000001,11.679490804672241,50.52324461936951
20,256,8,1,0.8202999999999999,1.3687314987182617,64.25571846961975
20,256,8,2,0.9068999999999999,2.743642807006836,64.25571846961975
20,256,8,4,0.9683999999999999,5.536310911178589,64.25571846961975
20,256,8,8,0.9824,11.000071048736572,64.25571846961975
20,256,8,16,0.9847,21.948945999145508,64.25571846961975
25,64,8,1,0.7995,0.44101977348327637,41.00329279899597
25,64,8,2,0.9015000000000001,0.7982656955718994,41.00329279899597
25,64,8,4,0.9427999999999999,1.6255223751068115,41.00329279899597
25,64,8,8,0.9571999999999998,3.1861953735351562,41.00329279899597
25,64,8,16,0.9609999999999999,6.383677959442139,41.00329279899597
25,128,8,1,0.8351999999999999,0.7118558883666992,65.61995816230774
25,128,8,2,0.9028999999999999,1.4103224277496338,65.61995816230774
25,128,8,4,0.9562999999999999,2.856879234313965,65.61995816230774
25,128,8,8,0.9741000000000001,5.658641338348389,65.61995816230774
25,128,8,16,0.9766000000000001,11.207777976989746,65.61995816230774
25,256,8,1,0.8352000000000003,1.344879388809204,71.78800201416016
25,256,8,2,0.9207,2.68997859954834,71.78800201416016
25,256,8,4,0.9641000000000001,5.362473964691162,71.78800201416016
25,256,8,8,0.9821000000000001,10.67479920387268,71.78800201416016
25,256,8,16,0.9851000000000001,21.096203804016113,71.78800201416016
30,64,8,1,0.8158,0.43175792694091797,41.45674705505371
30,64,8,2,0.9120000000000001,0.7668561935424805,41.45674705505371
30,64,8,4,0.9490999999999999,1.5301282405853271,41.45674705505371
30,64,8,8,0.9581999999999999,3.063631534576416,41.45674705505371
30,64,8,16,0.9641,6.101780414581299,41.45674705505371
30,128,8,1,0.8370000000000002,0.6744067668914795,57.25725793838501
30,128,8,2,0.9026000000000001,1.3521959781646729,57.25725793838501
30,128,8,4,0.9528,2.6959421634674072,57.25725793838501
30,128,8,8,0.9710000000000001,5.492117404937744,57.25725793838501
30,128,8,16,0.977,10.856867790222168,57.25725793838501
30,256,8,1,0.8264000000000001,1.3046441078186035,75.09377551078796
30,256,8,2,0.9162,2.583400011062622,75.09377551078796
30,256,8,4,0.9623,5.1426777839660645,75.09377551078796
30,256,8,8,0.9808999999999999,13.657770872116089,75.09377551078796
30,256,8,16,0.985,23.305477619171143,75.09377551078796
